name,ingredient,effect,warning,symptoms
ロキソニン,ロキソプロフェン,頭痛・発熱・痛み,胃への負担あり,頭痛|発熱|痛み
カロナール,アセトアミノフェン,発熱・痛み,過量注意,頭痛|発熱|痛み
イブ,イブプロフェン,頭痛・生理痛,空腹時注意,頭痛|生理痛|発熱
バファリン,アスピリン,頭痛・発熱,胃への負担あり,頭痛|発熱
タイレノール,アセトアミノフェン,発熱・痛み,飲みすぎ注意,頭痛|発熱
アレグラ,フェキソフェナジン,花粉症,眠気少ない,花粉症|鼻水
クラリチン,ロラタジン,アレルギー,眠気少ない,花粉症|鼻水
ジルテック,セチリジン,アレルギー,眠気あり,花粉症|鼻水
パブロン,総合感冒薬,風邪症状,成分重複注意,発熱|鼻水|咳|のど
ルル,総合感冒薬,風邪症状,眠気注意,発熱|鼻水|咳|のど
ベンザブロック,総合感冒薬,風邪症状,眠気注意,発熱|鼻水|咳|のど
ナロンエース,鎮痛薬,頭痛・生理痛,胃への負担あり,頭痛|生理痛
セデス,鎮痛薬,頭痛・発熱,眠気注意,頭痛|発熱
ノーシン,鎮痛薬,頭痛,空腹時注意,頭痛
ロキソニンS,鎮痛薬,頭痛・発熱,胃への負担あり,頭痛|発熱
ムヒ,外用薬,かゆみ,目に入れない,かゆみ|虫刺され
フェイタス,外用鎮痛薬,筋肉痛,皮膚刺激注意,筋肉痛|関節痛
ロペラミド,止瀉薬,下痢,便秘注意,下痢
ビオフェルミン,整腸剤,腸内環境改善,過剰不要,下痢|便秘
ガスター10,胃薬,胃痛・胃酸過多,長期注意,胃痛
タケプロン,胃薬,胃酸抑制,長期服用注意,胃痛
アムロジピン,降圧薬,高血圧,低血圧注意,高血圧
カンデサルタン,降圧薬,高血圧,血圧低下注意,高血圧
ロサルタン,降圧薬,高血圧,腎機能注意,高血圧
メトホルミン,糖尿病薬,血糖改善,低血糖注意,糖尿病
アマリール,糖尿病薬,血糖改善,低血糖注意,糖尿病
リリカ,神経痛薬,神経痛,眠気・ふらつき,神経痛
デパス,抗不安薬,不安・緊張,依存注意,不安|不眠
ハルシオン,睡眠薬,不眠,強い眠気,不眠
ワーファリン,抗凝固薬,血栓予防,出血注意,血栓
デイビゴ,レンボレキサント,不眠,眠気・ふらつき注意,不眠
